headword,CEFR,pos,Translation
abandon,B1,verb,버리다
abandoned,B2,adjective,버려진
ability,A2,noun,능력
able,B1,adjective,할 수 있는
abnormal,B1,adjective,이상
abnormally,B2,adverb,비정상적으로
aboard,B1,adverb,배로
abolish,B2,verb,폐하다
aboriginal,B2,adjective,원주민
aborigine,B1,noun,원주민
about,A1,adverb,~에 대한
above,B1,adjective,~위에
abroad,A2,adverb,해외에서
abruptly,B2,adverb,갑자기
absence,B1,noun,결석
absent,B1,adjective,결석한
absentee,B2,noun,부재자
absolute,B1,adjective,순수한
absolutely,B1,adverb,전적으로
absorb,B1,verb,흡수하다
abstract,B1,adjective,추상적인
absurd,B2,adjective,터무니없는
abundance,B1,noun,풍부
abundant,B1,adjective,풍부한
abuse,B2,noun,남용
academic,B1,adjective,학생
academy,B1,noun,학원
accent,B1,noun,악센트
accept,A2,verb,수용하다
acceptable,A2,adjective,허용 가능
acceptance,B1,noun,수락
access,B1,noun,입장
accessibility,B2,noun,접근성
accessible,B1,adjective,얻기 쉬운
accessory,B1,noun,부속물
accident,A2,noun,사고
accidental,B1,adjective,우연한
accidentally,B1,adverb,우연히
accommodation,B2,noun,숙소
accompany,B1,verb,동반하다
accomplish,B1,verb,성취하다
according to,B1,preposition,~에 따르면
accordingly,B2,adverb,따라서
account,A2,noun,계정
accountant,B1,noun,회계사
accumulate,B2,verb,축적하다
accuracy,B1,noun,정확성
accurate,B1,adjective,정확한
accusation,B2,noun,고발
accuse,B1,verb,고발하다
accustom,B1,verb,익숙한
ache,B1,noun,아픔
achievable,B2,adjective,달성 가능
achieve,A2,verb,성취하다
achievement,B1,noun,성취
acid,B2,noun,산
acknowledge,B1,verb,인정하다
acknowledgment/acknowledgement,B1,noun,승인
acquaintance,B1,noun,아는 사람
acquire,B1,verb,습득하다
acquisition,B2,noun,인수
across,A2,adverb,가로질러
act,A2,noun,행동
action,A1,noun,행동
active,B1,adjective,활동적인
actively,B2,adverb,적극적으로
activity,A1,noun,활동
actor,A1,noun,배우
actress,B1,noun,여배우
actual,B2,adjective,실제
actually,A2,adverb,실제로
acute,B2,adjective,심각한
ad,B1,noun,기원 후
adapt,B1,verb,적응하다
adaptable,B2,adjective,적응할 수 있는
add,A1,verb,추가하다
addict,B2,noun,중독자
addicted,B2,adjective,중독
addiction,B2,noun,탐닉
addition,A2,noun,덧셈
additional,A2,adjective,추가의
additionally,B2,adverb,또한
address,A1,noun,주소
addressee,B1,noun,수신인
adequate,B2,adjective,적절한
adequately,B2,adverb,적절하게
adjective,A2,noun,형용사
adjust,A2,verb,조정하다
adjustment,B2,noun,조정
administration,B1,noun,관리
administrative,B2,adjective,행정
admirable,B2,adjective,훌륭한
admiration,B1,noun,감탄
admire,A2,verb,존경하다
admiringly,B2,adverb,감탄하여
admission,B1,noun,가입
admit,A2,verb,인정하다
admittedly,B2,adverb,틀림없이
adopt,B1,verb,입양하다
adopted,B2,adjective,채택 된
adoption,B2,noun,양자
adorable,B1,adjective,사랑스러운
adore,B2,verb,애지중지하다
adorn,B2,verb,꾸미다
adult,A2,adjective,성인
advance,B2,noun,전진
advanced,A2,adjective,고급의
advancement,B2,noun,진보
advantage,A2,noun,이점
advent,B2,noun,출현
adventure,A2,noun,모험
adventurous,B2,adjective,모험
adverb,B1,noun,부사
adverse,B2,adjective,불리한
adversity,B2,noun,역경
advert,B1,noun,광고
advertise,B1,verb,공시하다
advertisement,A2,noun,광고
advertising,A2,noun,광고하는
advice,A2,noun,조언
advise,A2,verb,권하다
adviser/advisor,B1,noun,고문
aerobics,B1,noun,에어로빅
affair,A2,noun,일
affect,B1,verb,영향을 미치다
affection,B1,noun,애정
affectionate,B2,adjective,애정이 있는
affectionately,B2,adverb,애정적으로
afford,B1,verb,여유가 되다
affordable,B2,adjective,입수 가능한
afraid,A1,adjective,두려워하는
after,A2,adverb,~후에
afternoon,A1,noun,오후
afterward,B1,adverb,기후
afterwards,B1,adverb,나중에
again,A1,adverb,다시
against,A2,preposition,~에 맞서
age,A1,noun,나이
aged,A2,adjective,늙은
ageless,B2,adjective,영원한
agency,A2,noun,대행사
agenda,B1,noun,의제
agent,A2,noun,대리인
aggressive,B1,adjective,공격적인
aggressively,B2,adverb,적극적으로
ago,A1,adverb,~전에
agonize/agonise,B2,verb,고수화
agony,B2,noun,고뇌
agree,A1,verb,동의하다
agreement,B1,noun,합의
agricultural,B1,adjective,농업
ahead,A2,adverb,앞으로
aid,B1,noun,지원
aim,B1,noun,목표
air,A2,noun,공기
air conditioning,B1,noun,공기 조절
air force,B1,noun,공군
aircraft,B2,noun,항공기
aircrew,B2,noun,비행장
airline,B1,noun,공기 호스
airplane/aeroplane,A1,noun,비행기
airport,A1,noun,공항
aisle,A2,noun,통로
alarm,A2,noun,경보
alarm clock,A2,noun,알람 시계
album,A1,noun,앨범
alcohol,B1,noun,술
alcoholic,B1,adjective,알코올 중독
alcoholism,B2,noun,대주
alert,B2,verb,알리다
